Type,Year,County,Population,Incidence,Legend
Neuroinvasive disease cases,1999-2022,40093,7643,0.55,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40097,41327,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40099,13598,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40101,70769,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40103,11584,1.08,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40105,10622,0.78,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40107,12333,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40109,730890,0.61,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40111,39787,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40113,47775,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40115,31876,0.65,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40119,78253,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40121,45721,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40123,37751,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40125,70071,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40127,11415,0.73,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40131,87567,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40133,25443,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40135,42428,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40137,45115,0.83,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40139,21257,5.10,>1.10
Neuroinvasive disease cases,1999-2022,40141,8001,0.52,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40143,609323,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40145,74041,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40147,51378,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40149,11550,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,40151,8791,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,40153,20111,0.83,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,41001,16069,1.30,>1.10
Neuroinvasive disease cases,1999-2022,41003,86281,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41005,379640,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41017,159683,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41019,107257,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41023,7409,0.56,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,41025,7363,2.83,>1.10
Neuroinvasive disease cases,1999-2022,41029,204798,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41031,21752,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,41035,66322,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41039,354119,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41043,118175,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41045,30964,2.96,>1.10
Neuroinvasive disease cases,1999-2022,41047,318053,0.01,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,41061,25906,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42001,101476,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42003,1228437,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42005,68661,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42007,170330,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42009,49626,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42011,413027,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42017,626164,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42019,184766,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42021,142590,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42023,5012,0.83,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42025,65084,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42027,155107,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42029,503488,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42033,81438,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42035,39511,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42037,67085,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42041,237151,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42043,269278,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42045,559338,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42047,31798,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42049,281244,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42051,136008,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42053,7672,0.54,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42055,150949,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42061,46013,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42065,44917,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42067,24711,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42069,214400,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42071,523996,0.43,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,42073,90526,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42075,134530,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42077,353317,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42079,321073,0.04,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42081,116747,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42083,43143,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42085,116169,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42089,169921,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42091,805333,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42093,18363,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42095,298305,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42097,94392,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42101,1540615,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42109,39785,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42115,43222,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42117,42278,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,42119,45130,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42125,208089,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42129,364450,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,42133,436749,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,44001,49238,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,44005,83258,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,44007,629493,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,44009,126552,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45003,161628,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45007,188183,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45011,22463,0.37,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,45013,163864,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45019,357461,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45021,55706,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45023,32884,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45031,68162,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,45035,140155,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,45041,137670,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45043,60192,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45045,458972,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45047,69846,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45051,275545,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45059,66462,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45063,266409,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45067,32774,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45069,28589,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,45071,37507,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45073,74265,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,45075,91706,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45077,119735,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45079,389333,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45083,286180,0.03,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45085,107316,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,45087,28654,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,45091,230131,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,46003,2716,6.14,>1.10
Neuroinvasive disease cases,1999-2022,46005,17712,4.00,>1.10
Neuroinvasive disease cases,1999-2022,46007,3450,3.62,>1.10
Neuroinvasive disease cases,1999-2022,46009,7016,4.75,>1.10
Neuroinvasive disease cases,1999-2022,46011,32151,2.98,>1.10
Neuroinvasive disease cases,1999-2022,46013,36932,6.32,>1.10
Neuroinvasive disease cases,1999-2022,46015,5296,6.29,>1.10
Neuroinvasive disease cases,1999-2022,46017,1979,8.42,>1.10
Neuroinvasive disease cases,1999-2022,46019,10312,4.44,>1.10
Neuroinvasive disease cases,1999-2022,46021,1425,5.85,>1.10
Neuroinvasive disease cases,1999-2022,46023,9187,5.44,>1.10
Neuroinvasive disease cases,1999-2022,46025,3597,6.95,>1.10
Neuroinvasive disease cases,1999-2022,46027,13993,2.38,>1.10
Neuroinvasive disease cases,1999-2022,46029,27431,1.37,>1.10
Neuroinvasive disease cases,1999-2022,46031,4034,5.16,>1.10
Neuroinvasive disease cases,1999-2022,46033,8346,0.50,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,46035,19723,4.65,>1.10
Neuroinvasive disease cases,1999-2022,46037,5743,5.08,>1.10
Neuroinvasive disease cases,1999-2022,46039,4368,1.91,>1.10
Neuroinvasive disease cases,1999-2022,46041,5396,13.13,>1.10
Neuroinvasive disease cases,1999-2022,46043,2970,8.42,>1.10
Neuroinvasive disease cases,1999-2022,46045,4042,5.15,>1.10
Neuroinvasive disease cases,1999-2022,46047,6960,5.99,>1.10
Neuroinvasive disease cases,1999-2022,46049,2355,10.62,>1.10
Neuroinvasive disease cases,1999-2022,46051,7358,1.13,>1.10
Neuroinvasive disease cases,1999-2022,46055,1918,6.52,>1.10
Neuroinvasive disease cases,1999-2022,46057,5964,5.59,>1.10
Neuroinvasive disease cases,1999-2022,46059,3435,7.28,>1.10
Neuroinvasive disease cases,1999-2022,46061,3375,6.17,>1.10
Neuroinvasive disease cases,1999-2022,46063,1275,9.80,>1.10
Neuroinvasive disease cases,1999-2022,46065,17317,3.85,>1.10
Neuroinvasive disease cases,1999-2022,46067,7249,8.05,>1.10
Neuroinvasive disease cases,1999-2022,46069,1399,2.98,>1.10
Neuroinvasive disease cases,1999-2022,46071,3158,6.60,>1.10
Neuroinvasive disease cases,1999-2022,46073,2075,6.02,>1.10
Neuroinvasive disease cases,1999-2022,46075,1004,8.30,>1.10
Neuroinvasive disease cases,1999-2022,46077,5167,4.84,>1.10
Neuroinvasive disease cases,1999-2022,46079,11563,3.60,>1.10
Neuroinvasive disease cases,1999-2022,46081,24335,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,46083,46808,1.96,>1.10
Neuroinvasive disease cases,1999-2022,46085,3808,6.57,>1.10
Neuroinvasive disease cases,1999-2022,46087,5539,4.51,>1.10
Neuroinvasive disease cases,1999-2022,46089,2451,6.80,>1.10
Neuroinvasive disease cases,1999-2022,46091,4627,6.30,>1.10
Neuroinvasive disease cases,1999-2022,46093,25504,1.80,>1.10
Neuroinvasive disease cases,1999-2022,46095,2073,8.04,>1.10
Neuroinvasive disease cases,1999-2022,46097,2325,7.17,>1.10
Neuroinvasive disease cases,1999-2022,46099,171482,1.41,>1.10
Neuroinvasive disease cases,1999-2022,46101,6499,1.92,>1.10
Neuroinvasive disease cases,1999-2022,46102,13897,5.10,>1.10
Neuroinvasive disease cases,1999-2022,46103,102443,2.16,>1.10
Neuroinvasive disease cases,1999-2022,46105,3017,1.38,>1.10
Neuroinvasive disease cases,1999-2022,46107,2370,10.55,>1.10
Neuroinvasive disease cases,1999-2022,46109,10291,2.43,>1.10
Neuroinvasive disease cases,1999-2022,46111,2355,8.85,>1.10
Neuroinvasive disease cases,1999-2022,46115,6562,6.98,>1.10
Neuroinvasive disease cases,1999-2022,46117,2979,4.20,>1.10
Neuroinvasive disease cases,1999-2022,46119,1374,9.10,>1.10
Neuroinvasive disease cases,1999-2022,46121,9848,3.81,>1.10
Neuroinvasive disease cases,1999-2022,46123,5634,4.44,>1.10
Neuroinvasive disease cases,1999-2022,46125,8356,4.99,>1.10
Neuroinvasive disease cases,1999-2022,46127,14641,3.70,>1.10
Neuroinvasive disease cases,1999-2022,46129,5561,8.24,>1.10
Neuroinvasive disease cases,1999-2022,46135,22507,2.41,>1.10
Neuroinvasive disease cases,1999-2022,47003,45249,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47009,123689,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47019,57387,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47023,17150,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47029,35434,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47033,14563,1.14,>1.10
Neuroinvasive disease cases,1999-2022,47035,56538,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47037,636083,0.10,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47047,38574,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47053,49896,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,47057,22748,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47059,69174,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47063,62900,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47065,341179,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47073,56632,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47075,18550,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,47077,28048,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47081,24369,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47089,51918,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47091,18227,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47093,436822,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47095,7794,0.53,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,47099,42165,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47103,33386,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47113,98095,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47121,11689,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47123,44911,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47125,176603,0.05,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47129,22010,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47131,31679,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47141,73071,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47145,53996,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47147,66775,0.06,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47149,269206,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47155,91201,0.09,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47157,933321,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,47163,156895,0.16,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47165,163713,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47167,61313,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47179,123910,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47183,34860,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,47187,188464,0.02,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,47189,116814,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48001,58404,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48003,15387,4.87,>1.10
Neuroinvasive disease cases,1999-2022,48005,87299,2.63,>1.10
Neuroinvasive disease cases,1999-2022,48011,1936,6.46,>1.10
Neuroinvasive disease cases,1999-2022,48015,28612,0.29,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48017,7175,5.23,>1.10
Neuroinvasive disease cases,1999-2022,48021,75058,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48023,3696,4.51,>1.10
Neuroinvasive disease cases,1999-2022,48025,32316,0.13,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48027,315915,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48029,1755360,0.14,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48031,10569,0.79,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48035,18260,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48037,92832,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48039,319214,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48041,197481,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48045,1658,2.51,>1.10
Neuroinvasive disease cases,1999-2022,48049,37995,0.33,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48053,43221,0.19,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48055,38432,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48057,21353,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48059,13513,1.23,>1.10
Neuroinvasive disease cases,1999-2022,48061,413116,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48063,12421,0.34,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48065,6240,3.34,>1.10
Neuroinvasive disease cases,1999-2022,48067,30279,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48069,8089,4.12,>1.10
Neuroinvasive disease cases,1999-2022,48071,35693,0.35,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48073,51082,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48075,7028,2.37,>1.10
Neuroinvasive disease cases,1999-2022,48077,10668,1.56,>1.10
Neuroinvasive disease cases,1999-2022,48079,3083,4.05,>1.10
Neuroinvasive disease cases,1999-2022,48081,3264,1.28,>1.10
Neuroinvasive disease cases,1999-2022,48083,8748,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48085,812083,0.42,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48089,20803,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48091,112128,0.07,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48093,13870,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48095,4121,3.03,>1.10
Neuroinvasive disease cases,1999-2022,48097,38452,1.19,>1.10
Neuroinvasive disease cases,1999-2022,48099,76656,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48107,6041,6.21,>1.10
Neuroinvasive disease cases,1999-2022,48111,6887,1.21,>1.10
Neuroinvasive disease cases,1999-2022,48113,2409257,0.88,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48115,13750,2.12,>1.10
Neuroinvasive disease cases,1999-2022,48117,19519,2.78,>1.10
Neuroinvasive disease cases,1999-2022,48121,684842,0.69,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48123,20207,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48125,2402,1.73,>1.10
Neuroinvasive disease cases,1999-2022,48127,10109,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48129,3686,3.39,>1.10
Neuroinvasive disease cases,1999-2022,48133,18583,0.45,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48135,139631,0.63,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48139,152419,0.68,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48141,819796,1.48,>1.10
Neuroinvasive disease cases,1999-2022,48143,38925,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48145,17853,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48147,33884,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48149,24734,0.17,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48153,6371,7.85,>1.10
Neuroinvasive disease cases,1999-2022,48155,1359,6.13,>1.10
Neuroinvasive disease cases,1999-2022,48157,605979,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48159,10561,0.79,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48161,19602,1.28,>1.10
Neuroinvasive disease cases,1999-2022,48163,17491,0.24,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48165,17907,0.47,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48167,295632,0.30,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48169,6556,0.64,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48173,1238,10.10,>1.10
Neuroinvasive disease cases,1999-2022,48177,19753,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48179,22663,1.29,>1.10
Neuroinvasive disease cases,1999-2022,48181,121429,0.41,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48183,122719,1.15,>1.10
Neuroinvasive disease cases,1999-2022,48185,26663,0.94,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48187,135816,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48189,36383,2.98,>1.10
Neuroinvasive disease cases,1999-2022,48191,3312,2.52,>1.10
Neuroinvasive disease cases,1999-2022,48195,5580,3.73,>1.10
Neuroinvasive disease cases,1999-2022,48197,4160,1.00,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48199,55074,0.23,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48201,4179279,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48203,66350,0.31,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48207,5956,2.10,>1.10
Neuroinvasive disease cases,1999-2022,48209,163161,0.15,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48211,3961,1.05,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48213,78829,0.48,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48215,795305,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48217,35210,0.36,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48219,22907,2.55,>1.10
Neuroinvasive disease cases,1999-2022,48221,51564,0.65,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48223,35261,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48225,23433,0.18,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48227,34967,0.60,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48229,3409,2.44,>1.10
Neuroinvasive disease cases,1999-2022,48231,86688,1.11,>1.10
Neuroinvasive disease cases,1999-2022,48233,22023,1.32,>1.10
Neuroinvasive disease cases,1999-2022,48235,1601,2.60,>1.10
Neuroinvasive disease cases,1999-2022,48237,9031,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48239,14050,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48241,36201,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48243,2282,1.83,>1.10
Neuroinvasive disease cases,1999-2022,48245,253500,0.87,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48249,41245,0.20,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48251,152084,0.66,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48253,20271,0.62,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48255,14955,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48257,105212,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48259,34424,0.12,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48269,258,16.15,>1.10
Neuroinvasive disease cases,1999-2022,48273,32034,0.26,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48275,3721,3.36,>1.10
Neuroinvasive disease cases,1999-2022,48277,49869,0.58,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48279,14064,2.67,>1.10
Neuroinvasive disease cases,1999-2022,48285,19317,0.22,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48289,16829,0.25,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48291,76005,0.77,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48293,23587,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48295,3334,1.25,>1.10
Neuroinvasive disease cases,1999-2022,48303,283476,1.47,>1.10
Neuroinvasive disease cases,1999-2022,48305,5883,0.71,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48309,237847,0.81,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48317,4885,1.71,>1.10
Neuroinvasive disease cases,1999-2022,48321,36675,0.11,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48323,55233,0.08,0.01 to 0.16
Neuroinvasive disease cases,1999-2022,48329,140247,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48331,24610,0.51,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48335,9397,0.44,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48337,19760,0.21,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48339,471456,1.10,>1.10
Neuroinvasive disease cases,1999-2022,48341,22075,1.51,>1.10
Neuroinvasive disease cases,1999-2022,48345,1200,6.94,>1.10
Neuroinvasive disease cases,1999-2022,48347,65656,0.32,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48349,48072,0.95,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48351,14562,0.86,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48353,15147,0.28,0.17 to 0.37
Neuroinvasive disease cases,1999-2022,48355,343278,0.46,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48357,10444,0.80,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48359,2072,6.03,>1.10
Neuroinvasive disease cases,1999-2022,48361,82350,1.16,>1.10
Neuroinvasive disease cases,1999-2022,48363,28059,0.59,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48365,24008,1.21,>1.10
Neuroinvasive disease cases,1999-2022,48367,118326,0.39,0.38 to 1.09
Neuroinvasive disease cases,1999-2022,48369,10280,2.84,>1.10
